,drug_id,smiles
32,CID000003161,CC1C2C(C3C(C(=O)C(=C(N)O)C(=O)C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O
33,CID000071329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
34,CID000003823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
35,CID000003911,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6
36,CID000054454,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
37,CID000002156,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I
38,CID000004411,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O
39,CID000002907,C1CNP(=O)(OC1)N(CCCl)CCCl
40,CID000004192,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
41,CID000083786,C1=NNC2=C1NC=NC2=O
42,CID000003348,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
43,CID000000838,CNCC(C1=CC(=C(C=C1)O)O)O
44,CID000002617,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-]
45,CID000001986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
46,CID000006691,CC(=O)CC(C1=CC=CC=C1)C2=C(OC3=CC=CC=C3C2=O)O
47,CID000004920,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
48,CID000005478,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O
49,CID006398525,C(C1C(C(C(C(O1)OC2(C(C(C(O2)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)COS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Al].[Al].[Al].[Al].[Al].[Al].[Al].[Al].[Al]
50,CID000003937,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O
51,CID005311048,C(N)(N)(Cl)Cl
52,CID000004158,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
53,CID000005523,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
54,CID000003696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
55,CID000004112,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
56,CID000003899,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
57,CID000004473,CC1=C(C(C(=C(N1)C)C(=O)OCC[NH+](C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
58,CID000000853,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
59,CID005311181,CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O
60,CID000032797,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C
61,CID000059708,CCC(C(=O)N)N1CCCC1=O
62,CID000003826,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
63,CID000003143,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
64,CID000004736,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O
65,CID000005038,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
66,CID000005039,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C
67,CID000005005,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O
68,CID005493444,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
69,CID000003261,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
70,CID000003746,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C
71,CID000028112,[Li+].[AlH4-]
72,CID000002162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
73,CID000003386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
74,CID000004259,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
75,CID000119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
76,CID000087177,C(C1C(C(C(C(O1)OC(C(CO)O)C(C(=O)CO)O)O)O)O)O
77,CID000003957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
78,CID000004509,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]
79,CID000004595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
80,CID000104865,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
81,CID000002666,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O
82,CID000003007,CC(CC1=CC=CC=C1)N
83,CID000004506,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3
84,CID000003559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
85,CID000004909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
86,CID000060831,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C
87,CID000002520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
88,CID000060852,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
89,CID000060854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
90,CID000004889,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O
91,CID000003958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
92,CID005353980,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NN=C3C=CC(=O)C(=C3)C(=O)O
93,CID000005505,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
94,CID000216326,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
95,CID000038904,C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt]
96,CID005281007,CN(C)NN=C1C(=NC=N1)C(=O)N
97,CID000004485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
98,CID000004539,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
99,CID000005245,C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O
100,CID000176870,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
101,CID000039765,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C
102,CID000041774,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
103,CID000667490,C1=NC2=C(N1)C(=S)N=CN2
104,CID000004635,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O
105,CID000065999,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C
106,CID000005656,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
107,CID000005650,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
108,CID000005651,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
109,CID000004510,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
110,CID000002554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
111,CID000005717,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC
112,CID000002650,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
113,CID000003222,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O
114,CID000003749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
115,CID000004201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
116,CID000003440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
117,CID005481350,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C
118,CID000002909,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
119,CID000057469,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N
120,CID000003075,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CC[NH+](C)C)C3=CC=C(C=C3)OC
121,CID000027661,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O
122,CID000005647,CC(C)C(C(=O)OCCOCN1C=NC2=C1NC(=NC2=O)N)N
123,CID000123620,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)Cl)C
124,CID000000271,[Ca+2]
125,CID000002405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
126,CID000003016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
127,CID000004189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
128,CID000003750,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
129,CID000004666,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
130,CID000004173,CC1=NC=C(N1CCO)[N+](=O)[O-]
131,CID000005538,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
132,CID000004159,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
133,CID005311297,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)S)O
134,CID000001065,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
135,CID000002576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
136,CID000002541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
137,CID000002585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
138,CID000004543,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
139,CID000004599,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O
140,CID000019090,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C
141,CID000003640,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
142,CID000005512,CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2
143,CID000005533,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl
144,CID000077999,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
145,CID000002022,C1=NC2=C(N1COCCO)NC(=NC2=O)N
146,CID000002092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
147,CID000000206,C(C1C(C(C(C(O1)O)O)O)O)O
148,CID000003793,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
149,CID000036339,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
150,CID000000450,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
151,CID000002678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
152,CID000004927,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
153,CID000002756,CC1=C(N=CN1)CSCCNC(=NC)NC#N
154,CID000002803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
155,CID000005672,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
156,CID000060835,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
157,CID000005530,C1C(C1N)C2=CC=CC=C2
158,CID000003657,C(=O)(N)NO
159,CID000003890,CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O
160,CID004475485,CC(C)C1=NC(=NC(=C1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C
161,CID000002088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
162,CID000156419,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F
163,CID000004034,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
164,CID000004451,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
165,CID000002891,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+2]
166,CID000060865,CN(C)CCC=C1C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O
167,CID000004893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC
168,CID000005358,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C
169,CID000004894,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O
170,CID000005234,[Na+].[Cl-]
171,CID000002578,C(CCl)NC(=O)N(CCCl)N=O
172,CID006447131,CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Cl)C)O)C)OC)OC)C)C
173,CID000002118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
174,CID000003715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
175,CID000004264,CC(C1C(O1)CC2COC(C(C2O)O)CC(=CC(=O)OCCCCCCCCC(=O)O)C)C(C)O
176,CID000003062,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
177,CID000003825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
178,CID000004052,CC1=CN=C(S1)NC(=C2C(=O)C3=CC=CC=C3S(=O)(=O)N2C)O
179,CID000002487,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O
180,CID000216239,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
181,CID000003152,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
182,CID000027686,C1=CC2=C(C(=C1)OCC(COC3=CC4=C(C=C3)OC(=CC4=O)C(=O)O)O)C(=O)C=C(O2)C(=O)O
183,CID000004723,C1=CC=C(C=C1)C2C(=O)N=C(O2)N
184,CID000003883,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
185,CID000003157,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
186,CID000003154,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
187,CID000000214,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
188,CID000003003,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
189,CID000003158,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
190,CID000003333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
191,CID006398970,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O
192,CID000003648,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4
193,CID000000772,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
194,CID003081884,CC(C(=O)O)N.CC(=O)O.C1=CC(=CC=C1CC(C(=O)O)N)O.C(CCN)CC(C(=O)O)N.C(CC(=O)O)C(C(=O)O)N
195,CID000005544,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O
196,CID000003365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
197,CID000060147,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N
198,CID000002609,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
199,CID000004594,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
200,CID000002656,CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
201,CID000002662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
202,CID000003661,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
203,CID000004419,C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O
204,CID000004679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
205,CID000005210,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C
206,CID000005203,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
207,CID000003043,C1CC(OC1CO)N2C=NC3=C2NC=NC3=O
208,CID000124087,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
209,CID000003516,COC1=CC=CC=C1OCC(CO)O
210,CID000003510,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C
211,CID000005040,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
212,CID000152945,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C
213,CID000003404,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
214,CID000003324,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
215,CID000003325,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
216,CID000004900,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C
217,CID000004856,CN1C(=C(NC2=CC=CC=N2)O)C(=O)C3=CC=CC=C3S1(=O)=O
218,CID000122316,C#CCNC1CCC2=CC=CC=C12
219,CID000004054,CC12CC3CC(C1)(CC(C3)(C2)N)C
220,CID000003255,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
221,CID000005077,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C
222,CID000005095,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
223,CID000003878,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
224,CID000004058,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2
225,CID000002244,CC(=O)OC1=CC=CC=C1C(=O)O
226,CID000054374,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O
227,CID000060843,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)NC(CCC(=O)O)C(=O)O
228,CID000160051,CCCCCCCCCCNCC=C.C[N+](C)(C)CCCCCCNCC=C.C=CCN.C1C(O1)CCl.Cl.[Cl-]
